City_ID,city,Latitude,Longitude,Max Temperature,Humidity,Cloudiness,Wind Speed,Country,Date
167,vicuna,-30.0319,-70.7081,46.13,62,51,0.47,CL,1628730341
168,sabang,5.8933,95.3214,82.58,73,100,19.08,ID,1628730597
169,ingham,42.6,-84.3833,76.62,85,1,8.05,US,1628730597
170,camacha,33.0833,-16.3333,71.02,73,40,11.5,PT,1628730597
171,korla,41.7597,86.1469,80.19,28,8,10.07,CN,1628730597
172,padang,-0.9492,100.3543,75.25,83,100,2.68,ID,1628730598
173,manikganj,23.8553,90.0125,84.18,88,100,9.22,BD,1628730598
174,puerto ayora,-0.7393,-90.3518,70.56,87,88,5.01,EC,1628730598
175,vardo,70.3705,31.1107,51.87,95,60,4.34,NO,1628730598
176,san patricio,28.017,-97.5169,88.52,65,0,12.97,US,1628730599
177,vinh,18.6667,105.6667,86.54,67,76,5.35,VN,1628730331
178,le mars,42.7942,-96.1656,84.56,54,1,0.0,US,1628730521
179,qaqortoq,60.7167,-46.0333,48.7,80,60,1.95,GL,1628730599
180,cap malheureux,-19.9842,57.6142,72.09,85,4,3.0,MU,1628730599
181,arraial do cabo,-22.9661,-42.0278,69.3,90,24,19.19,BR,1628730600
182,lucapa,-8.4192,20.7447,65.75,27,0,3.49,AO,1628730600
183,maarianhamina,60.0973,19.9348,49.86,100,90,2.3,AX,1628730600
184,bay roberts,47.5999,-53.2648,61.66,90,100,5.01,CA,1628730600
185,lieksa,63.3167,30.0167,58.78,81,94,4.63,FI,1628730601
186,spornoye,50.8448,37.2913,68.02,72,99,9.33,RU,1628730601
187,zhigansk,66.7697,123.3711,64.94,53,25,4.61,RU,1628730601
188,tasiilaq,65.6145,-37.6368,48.36,83,20,7.52,GL,1628730601
189,dubti,11.7361,41.0853,87.24,51,5,3.65,ET,1628730602
190,hobyo,5.3505,48.5268,75.81,86,58,19.39,SO,1628730602
191,jamsa,61.8642,25.19,55.35,82,100,2.42,FI,1628730604
192,palmer,42.1584,-72.3287,82.33,73,11,3.0,US,1628730605
193,praia da vitoria,38.7333,-27.0667,72.75,91,9,11.92,PT,1628730605
194,ko samui,9.5357,99.9357,83.07,74,100,17.94,TH,1628730605
195,airai,-8.9266,125.4092,71.69,48,22,5.48,TL,1628730605
196,sao filipe,14.8961,-24.4956,75.34,78,47,11.32,CV,1628730606
197,ponta do sol,32.6667,-17.1,74.03,76,20,4.61,PT,1628730606
198,glenwood springs,39.5505,-107.3248,90.52,18,6,4.59,US,1628730606
199,hastings,50.8552,0.5729,63.91,93,100,7.36,GB,1628730606
200,elko,41.0002,-115.5012,91.42,10,9,13.0,US,1628730378
201,paamiut,61.994,-49.6678,43.75,88,100,11.59,GL,1628730607
202,mansehra,34.3333,73.2,73.71,74,86,3.22,PK,1628730607
203,myra,45.4358,12.1348,77.5,70,0,6.91,IT,1628730607
204,wanning,18.8003,110.3967,85.53,80,100,7.85,CN,1628730608
205,kahului,20.8947,-156.47,87.06,69,20,23.02,US,1628730399
206,eyrarbakki,63.863,-21.1481,54.21,85,98,2.66,IS,1628730608
207,taltal,-25.4,-70.4833,57.25,80,63,2.68,CL,1628730608
208,carnarvon,-24.8667,113.6333,59.63,38,0,19.15,AU,1628730608
209,lebedinyy,58.5167,125.5167,67.8,52,21,7.7,RU,1628730609
210,meadow lake,34.8014,-106.5436,94.48,28,28,6.55,US,1628730609
211,pangkalanbuun,-2.6833,111.6167,82.38,76,53,4.68,ID,1628730609
212,starodub,52.5844,32.7633,61.52,88,0,5.39,RU,1628730609
213,quatre cocos,-20.2078,57.7625,71.71,85,36,11.05,MU,1628730610
214,port elizabeth,-33.918,25.5701,52.11,72,1,16.15,ZA,1628730610
215,tadine,-21.55,167.8833,71.44,48,0,19.86,NC,1628730610
216,tiznit,29.5833,-9.5,64.94,76,7,0.87,MA,1628730610
217,erzin,36.9559,36.2,79.52,65,31,2.35,TR,1628730611
218,salihorsk,52.7876,27.5415,53.74,96,8,8.66,BY,1628730611
219,ankang,32.68,109.0172,77.52,81,91,0.94,CN,1628730611
220,sava,40.4034,17.5584,82.74,48,0,15.43,IT,1628730611
221,kloulklubed,7.0419,134.2556,86.5,73,100,10.42,PW,1628730612
222,hamilton,39.1834,-84.5333,86.85,72,1,1.01,US,1628730563
223,ypsonas,34.6884,32.9574,83.16,44,0,5.75,CY,1628730612
224,verkhoyansk,67.5447,133.385,70.86,65,23,3.47,RU,1628730612
225,formosa,-26.1775,-58.1781,49.98,81,0,5.75,AR,1628730612
226,nyzy,50.7828,34.7844,64.99,76,98,7.11,UA,1628730612
227,cantaura,9.3057,-64.3584,75.7,84,68,6.87,VE,1628730613
228,chilca,-12.5211,-76.7372,62.76,86,30,6.93,PE,1628730613
229,moissala,8.3404,17.7663,69.8,99,100,4.25,TD,1628730550
230,nicoya,10.1483,-85.452,72.95,88,56,1.81,CR,1628730613
231,lompoc,34.6391,-120.4579,80.1,69,1,10.36,US,1628730385
232,adrar,20.5022,-10.0711,93.0,25,77,4.63,MR,1628730614
233,teacapan,22.55,-105.75,83.57,73,100,8.55,MX,1628730614
234,kanniyakumari,8.0833,77.5667,78.84,82,100,18.97,IN,1628730614
235,beringovskiy,63.05,179.3167,45.43,84,90,9.35,RU,1628730614
236,ahipara,-35.1667,173.1667,58.03,61,4,7.52,NZ,1628730615
237,aklavik,68.2191,-135.0107,65.41,46,91,9.4,CA,1628730615
238,lerwick,60.1545,-1.1494,57.2,95,100,13.98,GB,1628730615
239,marawi,7.9986,124.2928,75.65,69,17,2.86,PH,1628730615
240,black river,18.0264,-77.8487,82.98,76,97,3.15,JM,1628730616
241,ridgecrest,35.6225,-117.6709,100.38,14,75,1.01,US,1628730616
242,pacific grove,36.6177,-121.9166,90.16,78,20,4.0,US,1628730616
243,raga,8.4596,25.678,68.97,98,100,4.5,SS,1628730616
244,maniitsoq,65.4167,-52.9,43.84,82,20,6.42,GL,1628730617
245,meulaboh,4.1363,96.1285,77.95,78,100,3.8,ID,1628730617
246,vila velha,-20.3297,-40.2925,69.75,88,40,3.44,BR,1628730512
247,iqaluit,63.7506,-68.5145,40.35,79,100,20.85,CA,1628730617
248,anadyr,64.75,177.4833,45.1,87,90,8.95,RU,1628730617
249,bongandanga,1.5,21.05,71.2,93,100,2.17,CD,1628730618
250,pozo colorado,-23.4923,-58.7972,54.12,59,100,4.9,PY,1628730618
251,qasigiannguit,68.8193,-51.1922,44.85,82,100,4.99,GL,1628730618
252,makakilo city,21.3469,-158.0858,86.32,55,90,8.05,US,1628730618
253,nikolayevsk-na-amure,53.1406,140.73,73.02,42,46,2.28,RU,1628730619
254,atherton,53.5237,-2.4935,60.3,95,15,1.01,GB,1628730619
255,high prairie,55.4334,-116.4858,66.43,39,99,13.35,CA,1628730619
256,tres barras,-26.1064,-50.3222,52.54,88,100,4.36,BR,1628730619
257,atyrau,47.1167,51.8833,75.22,31,0,4.47,KZ,1628730620
258,sakakah,29.9697,40.2064,86.76,24,0,6.82,SA,1628730620
259,pisco,-13.7,-76.2167,60.85,77,90,9.22,PE,1628730620
260,campoverde,-8.4753,-74.8058,78.13,65,81,2.68,PE,1628730620
261,aksarka,66.5606,67.7975,56.61,62,98,5.06,RU,1628730621
262,tautira,-17.7333,-149.15,78.82,81,97,14.83,PF,1628730621
263,narsaq,60.9167,-46.05,48.42,76,70,1.32,GL,1628730621
264,ranong,9.9658,98.6348,81.03,84,72,10.11,TH,1628730622
265,nur,52.6683,22.3221,52.79,94,1,6.91,PL,1628730622
266,vanavara,60.34,102.2797,67.35,45,71,3.98,RU,1628730622
267,soe,-9.8607,124.284,78.1,51,90,9.57,ID,1628730623
268,kulhudhuffushi,6.6221,73.07,81.95,77,100,12.57,MV,1628730623
269,matagami,49.7502,-77.6328,76.73,60,4,12.95,CA,1628730623
270,porto walter,-8.2686,-72.7439,79.56,49,73,1.41,BR,1628730623
271,marystown,47.1666,-55.1483,62.33,95,100,5.3,CA,1628730624
272,klaksvik,62.2266,-6.589,54.52,95,100,15.86,FO,1628730624
273,shenkursk,62.1091,42.896,63.99,99,100,6.42,RU,1628730624
274,larap,14.299,122.6504,84.49,68,100,0.72,PH,1628730625
275,lobito,-12.3481,13.5456,71.06,85,89,4.45,AO,1628730625
276,port blair,11.6667,92.75,81.03,83,100,8.77,IN,1628730625
277,port hardy,50.6996,-127.4199,64.24,64,10,20.47,CA,1628730625
278,mandalgovi,45.7625,106.2708,71.56,27,58,4.18,MN,1628730487
279,severnoye,56.3491,78.3619,54.61,91,100,12.57,RU,1628730626
280,trapani,37.8333,12.6667,90.28,40,0,7.67,IT,1628730626
281,marienburg,54.0359,19.0266,59.95,92,4,8.05,PL,1628730626
282,bilibino,68.0546,166.4372,61.97,38,100,3.58,RU,1628730626
283,komsomolskiy,40.4272,71.7189,72.82,25,0,5.5,UZ,1628730627
284,las juntas,19.4167,-104.7,76.08,90,90,2.35,MX,1628730627
285,north bend,43.4065,-124.2243,86.23,77,1,8.05,US,1628730627
286,bilma,18.6853,12.9164,90.03,38,85,5.97,NE,1628730627
287,vestmannaeyjar,63.4427,-20.2734,54.27,86,99,5.77,IS,1628730628
288,hami,42.8,93.45,80.87,30,0,6.69,CN,1628730628
289,kappeln,54.6612,9.9313,57.11,84,42,5.1,DE,1628730628
290,sungaipenuh,-2.0833,101.3833,68.7,86,98,2.75,ID,1628730628
291,atasu,48.6814,71.6433,63.5,56,100,10.11,KZ,1628730629
292,sloboda,51.1421,40.3021,73.58,42,60,7.43,RU,1628730629
293,ilulissat,69.2167,-51.1,44.62,81,75,4.61,GL,1628730629
294,esperance,-33.8667,121.9,56.19,68,25,13.51,AU,1628730630
295,vilhena,-12.7406,-60.1458,72.64,45,91,4.76,BR,1628730630
296,nyurba,63.2842,118.3319,67.77,61,100,2.98,RU,1628730630
297,huruesti,46.2667,27.25,61.32,81,0,7.47,RO,1628730630
298,sitka,57.0531,-135.33,58.89,88,90,5.75,US,1628730631
299,alekseyevka,50.6309,38.6903,70.52,70,100,6.69,RU,1628730631
300,longyearbyen,78.2186,15.6401,46.24,93,75,8.05,SJ,1628730631
301,faya,18.3851,42.4509,66.72,69,89,1.68,SA,1628730631
302,gat,31.61,34.7642,79.48,100,0,1.14,IL,1628730632
303,tukrah,32.5341,20.5791,80.94,69,0,3.04,LY,1628730632
304,borogontsy,62.6683,131.1683,67.59,83,100,2.71,RU,1628730632
305,nanortalik,60.1432,-45.2371,45.59,82,32,8.88,GL,1628730632
306,sydney,-33.8679,151.2073,67.6,39,0,1.01,AU,1628730506
